Organization,Designation,Division,District,Upazila,Employee,"Employee mobile",Email,"Organization contact"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাউজান, চট্টগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,চট্টগ্রাম,রাংগুনীয়া,,,,"রাউজান, চট্টগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাগুনিয়া, চট্টগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,চট্টগ্রাম,রাংগুনীয়া,,,,"রাগুনিয়া, চট্টগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সন্দীপ, চট্টগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,চট্টগ্রাম,সন্দ্বীপ,,,,"সন্দীপ, চট্টগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাতকানিয়া, চট্টগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,চট্টগ্রাম,সাতকানিয়া,,,,"সাতকানিয়া, চট্টগ্রাম"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সীতাকুন্ডু, চট্টগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,চট্টগ্রাম,সীতাকুন্ড,,,,"সীতাকুন্ডু, চট্টগ্রাম"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,কুমিল্লা,বরুড়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বরুড়া, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,বরুড়া,,,,"বরুড়া, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ব্রাহ্মণপাড়া, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,"ব্রাক্ষ্মণ পাড়া",,,,"ব্রাহ্মণপাড়া, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বুড়িচং, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,বুড়িচং,,,,"বুড়িচং, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চান্দিনা, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,চন্দিনা,,,,"চান্দিনা, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চৌদ্দগ্রাম, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,চৌদ্দগ্রাম,,,,"চৌদ্দগ্রাম, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সদরদক্ষিণ, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,"কুমিল্লা সদর দক্ষিণ",,,,"সদরদক্ষিণ, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দাউদকান্দি, কুৃমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,দাউদকান্দি,,,,"দাউদকান্দি, কুৃমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দেবিদ্বার, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,দেবিদ্বার,,,,"দেবিদ্বার, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লাকসাম, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,লাকসাম,,,,"লাকসাম, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মনোহরগঞ্জ, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,মনোহরগঞ্জ,,,,"মনোহরগঞ্জ, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মেঘনা, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,মেঘনা,,,,"মেঘনা, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মুরাদনগর, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,মুরাদনগর,,,,"মুরাদনগর, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নাঙ্গলকোর্ট, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,নাঙ্গলকোট,,,,"নাঙ্গলকোর্ট, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,তিতাস, কুমিল্লা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কুমিল্লা,তিতাস,,,,"তিতাস, কুমিল্লা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পেকুয়া, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,চকরিয়া,,,,"পেকুয়া, কক্সবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চকরিয়া, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,চকরিয়া,,,,"চকরিয়া, কক্সবাজার"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,কক্সবাজার,চকরিয়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কুতুবদিয়া, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,,,,"কুতুবদিয়া, কক্সবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মহেশখালী, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,মহেশখালী,,,,"মহেশখালী, কক্সবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রামু, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,রামু,,,,"রামু, কক্সবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,টেকনাফ, কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,টেক্‌নাফ,,,,"টেকনাফ, কক্সবাজার"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,উখিয়া,কক্সবাজার","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,কক্সবাজার,উখিয়া,,,,"উখিয়া,কক্সবাজার"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,ফেনী,ছাগলনাইয়া,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সোনাগাজী, ফেনী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,ফেনী,ছাগলনাইয়া,,,,"সোনাগাজী, ফেনী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ছাগলনাইয়া, ফেনী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,ফেনী,ছাগলনাইয়া,,,,"ছাগলনাইয়া, ফেনী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দাগনভূইয়া, ফেনী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,ফেনী,দাগনভূঁঞা,,,,"দাগনভূইয়া, ফেনী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ফুলগাজী, ফেনী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,ফেনী,ফুলগাজী,,,,"ফুলগাজী, ফেনী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পরশুরাম, ফেনী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,ফেনী,পরশুরাম,,,,"পরশুরাম, ফেনী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়, গুইমারা, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,,,,,"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়, গুইমারা, খাগড়াছড়ি"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,খাগড়াছড়ি,বেতাগী,,,,
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,খাগড়াছড়ি,দিঘিনালা,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,দীঘিনালা, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,দিঘিনালা,,,,"দীঘিনালা, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লক্ষীছড়ি, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,লক্ষীছড়ি,,,,"লক্ষীছড়ি, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মহালছড়ি, খাগড়াছদি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,মহালছড়ি,,,,"মহালছড়ি, খাগড়াছদি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মানিকছড়ি, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,মানিকছড়ি,,,,"মানিকছড়ি, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মাটিরাঙ্গা, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,মাটিরাংগা,,,,"মাটিরাঙ্গা, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পানছড়ি, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,পানছড়ি,,,,"পানছড়ি, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রামগড়, খাগড়াছড়ি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,খাগড়াছড়ি,রামগর,,,,"রামগড়, খাগড়াছড়ি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কমলনগর, লক্ষীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,লক্ষ্মীপুর,কমলনগর,,,,"কমলনগর, লক্ষীপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,লক্ষ্মীপুর,কমলনগর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রায়পুর, লক্ষীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,লক্ষ্মীপুর,রায়পুর,,,,"রায়পুর, লক্ষীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রামগঞ্জ, লক্ষীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,লক্ষ্মীপুর,রামগঞ্জ,,,,"রামগঞ্জ, লক্ষীপুর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রামগতি, লক্ষীপুর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,লক্ষ্মীপুর,রামগতী,,,,"রামগতি, লক্ষীপুর"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,নোয়াখালী,বেগমগঞ্জ,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বেগমগঞ্জ, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,বেগমগঞ্জ,,,,"বেগমগঞ্জ, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,চাটখিল, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,চাট্‌খিল,,,,"চাটখিল, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কোম্পানীগঞ্জ, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,কোম্পানীগঞ্জ,,,,"কোম্পানীগঞ্জ, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হাতিয়া, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,হাতিয়া,,,,"হাতিয়া, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কবিরহাট,নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,কবিরহাট,,,,"কবিরহাট,নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সেনবাগ, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,সেনবাগ,,,,"সেনবাগ, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সোনাইমুড়ী, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,সোনাইমুড়ি,,,,"সোনাইমুড়ী, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সুবর্ণচর, নোয়াখালী","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,নোয়াখালী,সুবর্ণচর,,,,"সুবর্ণচর, নোয়াখালী"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাঘাইছড়ি, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,বাঘাইছড়ি,,,,"বাঘাইছড়ি, রাঙ্গামাটি"
"উপপরিচালকের কার্যালয়",উপপরিচালক,চট্টগ্রাম,রাঙ্গামাটি,বাঘাইছড়ি,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বরকল, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,বরকল,,,,"বরকল, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাউখালী, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,কাউখালী,,,,"কাউখালী, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বিলাইছড়ি, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,বিলাইছড়ি,,,,"বিলাইছড়ি, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাপ্তাই, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,কাপ্তাই,,,,"কাপ্তাই, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,জুরাইছড়ি, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,জুরাইছড়ি,,,,"জুরাইছড়ি, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লংগদু, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,লংগদু,,,,"লংগদু, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নানিয়ারচর, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,নানিয়ারচর,,,,"নানিয়ারচর, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রাজস্থলী, রাঙ্গামাটি","উপজেলা মহিলা বিষয়ক কর্মকর্তা",চট্টগ্রাম,রাঙ্গামাটি,রাজস্থালী,,,,"রাজস্থলী, রাঙ্গামাটি"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আদমদিঘী, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,আদমদিঘী,,,,"আদমদিঘী, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ধুনট, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,ধুনট,,,,"ধুনট, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গাবতলী, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,ধুনট,,,,"গাবতলী, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ধুপচাচিয়া, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,ধুপচাঁচিয়া,,,,"ধুপচাচিয়া, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কাহালু, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,কাহালু,,,,"কাহালু, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নন্দীগ্রাম","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,নন্দীগ্রাম,,,,নন্দীগ্রাম
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সারিয়াকান্দি, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,সারিয়াকান্দি,,,,"সারিয়াকান্দি, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শাজাহানপুর, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,শাহজাহানপুর,,,,"শাজাহানপুর, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শেরপুর, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,শেরপুর,,,,"শেরপুর, বগুড়া"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,বগুড়া,শেরপুর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শিবগঞ্জ, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,শিব্‌গঞ্জ,,,,"শিবগঞ্জ, বগুড়া"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সোনাতলা, বগুড়া","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,বগুড়া,সোনাতলা,,,,"সোনাতলা, বগুড়া"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,"চাঁপাই নবাবগঞ্জ",ভোলাহাট,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভোলাহাট, চাঁপাইনবাবগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,"চাঁপাই নবাবগঞ্জ",ভোলাহাট,,,,"ভোলাহাট, চাঁপাইনবাবগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গোমস্তাপুর, চাঁপাইনবাবগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,"চাঁপাই নবাবগঞ্জ",গোমস্তাপুর,,,,"গোমস্তাপুর, চাঁপাইনবাবগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নাচোল, চাঁপাইনবাবগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,"চাঁপাই নবাবগঞ্জ",নাচোল,,,,"নাচোল, চাঁপাইনবাবগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,শিবগঞ্জ, চাঁপাইনবাবগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,"চাঁপাই নবাবগঞ্জ",শিবগঞ্জ,,,,"শিবগঞ্জ, চাঁপাইনবাবগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আক্কেলপুর, জয়পুরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,জয়পুরহাট,আক্কেলপুর,,,,"আক্কেলপুর, জয়পুরহাট"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,জয়পুরহাট,আক্কেলপুর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কালাই, জয়পুরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,জয়পুরহাট,কালাই,,,,"কালাই, জয়পুরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ক্ষেতলাল, জয়পুরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,জয়পুরহাট,ক্ষেতলাল,,,,"ক্ষেতলাল, জয়পুরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পাঁচবিবি, জয়পুরহাট","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,জয়পুরহাট,পাঁচবিবি,,,,"পাঁচবিবি, জয়পুরহাট"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আত্রাই, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,আত্রাই,,,,"আত্রাই, নওগাঁ"
"উপপরিচালকের কার্যালয়",উপপরিচালক,রাজশাহী,নওগাঁ,আত্রাই,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বদলগাছী, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,বদলগাছী,,,,"বদলগাছী, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়, ধামুরহাট, নওগাঁ‌","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,ধামুইরহাট,,,,"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়, ধামুরহাট, নওগাঁ‌"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মান্দা, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,মান্দা,,,,"মান্দা, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নিয়ামতপুর, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,নিয়ামতপুর,,,,"নিয়ামতপুর, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পত্নীতলা, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,পত্নীতলা,,,,"পত্নীতলা, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,পোরশা, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,পোরশা,,,,"পোরশা, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,রানীনগর, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,রাণীনগর,,,,"রানীনগর, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সাপাহার, নওগাঁ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নওগাঁ,সাপাহার,,,,"সাপাহার, নওগাঁ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাঘাতিপাড়া, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,বাগাতিপাড়া,,,,"বাঘাতিপাড়া, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বড়াইগ্রাম, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,বড়ইগ্রাম,,,,"বড়াইগ্রাম, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,গুরুদাসপুর, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,গুরুদাসপুর,,,,"গুরুদাসপুর, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,লালপুর, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,লালপুর,,,,"লালপুর, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,নলডাঙ্গা, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,পাহাড়তলী,,,,"নলডাঙ্গা, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,সিংড়া, নাটোর","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,নাটোর,সিংড়া,,,,"সিংড়া, নাটোর"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,আটঘরিয়া, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,আটঘরিয়া,,,,"আটঘরিয়া, পাবনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বেড়া, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,বেড়া,,,,"বেড়া, পাবনা"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভাঙ্গুড়া, পাবনা","উপজেলা মহিলা বিষয়ক কর্মকর্তা",রাজশাহী,পাবনা,ভাংগুড়া,,,,"ভাঙ্গুড়া, পাবনা"
